epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.48287,2.17805,3.8679,2.09325,0.47653,0.48387,0.47654,0.17324,2.14185,4.4894,2.11616,0.0003,0.0003,0.0003
2,13.1765,1.70803,1.72118,1.55976,0.47777,0.43548,0.4093,0.14942,2.29845,2.59366,2.21078,0.000607724,0.000607724,0.000607724
3,18.1012,1.72052,1.6739,1.57072,0.55172,0.25806,0.3096,0.09318,2.39193,9.47075,2.95799,0.000902776,0.000902776,0.000902776
4,22.9853,1.71551,1.62869,1.57567,0.18182,0.09677,0.07453,0.02487,2.292,25.7857,2.50633,0.00118516,0.00118516,0.00118516
5,29.318,1.67355,1.52425,1.60548,0.1,0.51613,0.07747,0.04051,2.0714,50.9282,3.47738,0.00145486,0.00145486,0.00145486
6,34.1664,1.63597,1.53443,1.58171,0.48526,0.51613,0.44492,0.21822,1.93453,4.45113,2.26923,0.0017119,0.0017119,0.0017119
7,39.5359,1.66257,1.49616,1.56794,0.30428,0.46774,0.35561,0.15123,2.14283,8.08681,2.33613,0.0017624,0.0017624,0.0017624
8,44.3892,1.61555,1.43058,1.54597,0.26815,0.54839,0.30987,0.11455,2.30421,6.34871,2.42605,0.0017228,0.0017228,0.0017228
9,49.6194,1.61645,1.41532,1.56118,0.36925,0.5,0.29607,0.10697,2.42275,2.28731,2.35102,0.0016832,0.0016832,0.0016832
10,54.7295,1.53111,1.29439,1.49433,0.1712,0.30645,0.12648,0.0367,2.59697,3.05994,2.50263,0.0016436,0.0016436,0.0016436
11,59.5107,1.53154,1.28179,1.48602,0.56657,0.48387,0.43187,0.15039,2.15126,2.87583,2.20752,0.001604,0.001604,0.001604
12,64.9081,1.52707,1.2707,1.4714,0.56968,0.46774,0.44941,0.13542,2.34693,2.06504,2.306,0.0015644,0.0015644,0.0015644
13,69.7104,1.42537,1.17079,1.43993,0.58797,0.62149,0.49436,0.16471,2.2475,1.94098,2.32994,0.0015248,0.0015248,0.0015248
14,75.0101,1.53589,1.19168,1.48431,0.43672,0.51613,0.36409,0.12814,2.33177,2.41581,2.39342,0.0014852,0.0014852,0.0014852
15,80.1211,1.48771,1.20565,1.50124,0.71995,0.49762,0.56638,0.2298,2.14743,2.46107,2.12447,0.0014456,0.0014456,0.0014456
16,85.0736,1.46866,1.228,1.47434,0.57586,0.56942,0.53771,0.2479,2.08172,1.48959,2.11495,0.001406,0.001406,0.001406
17,90.6295,1.43621,1.18097,1.45131,0.59933,0.62903,0.5413,0.26423,1.9968,1.36336,2.06626,0.0013664,0.0013664,0.0013664
18,95.5787,1.37953,1.08765,1.40357,0.61463,0.6129,0.58387,0.25795,2.03567,1.62457,2.06283,0.0013268,0.0013268,0.0013268
19,101.085,1.35956,1.07362,1.37502,0.45431,0.46774,0.4069,0.17896,2.30869,1.76466,2.26775,0.0012872,0.0012872,0.0012872
20,106.307,1.30332,1.04259,1.35232,0.62105,0.66129,0.6018,0.31098,1.84798,1.31953,1.95874,0.0012476,0.0012476,0.0012476
